Symbol,Mark,Mark %Change,Volume,Market Cap
NUJ,13.320,+0.53%,"6,320",60 M
NVG,14.180,0.00%,"13,970",420 M
NVJ,15.660,,0,0
NVX,13.960,+0.29%,"11,696",206 M
NVY,12.120,,0,0
NWD,0,,0,0
NWI,15.520,,0,83 M
NXE,14.410,,0,0
NXG,3.230,,0,0
NXI,15.680,,0,0
NXIpD,10.090,,0,0
NXJ,13.580,+0.22%,"3,016",89 M
NXK,13.114,+0.26%,"19,313",85 M
NXM,12.700,,0,42 M
NXZ,14.100,-0.07%,"15,620",416 M
NYH,11.920,,"1,095",31 M
NYV,14.420,+0.14%,740,34 M
NZF,13.770,-0.07%,"40,453",556 M
NZH,13.090,+0.38%,"21,060",316 M
NZR,15.700,,0,66 M
NZW,0,,0,0
NZWpC,9.970,,0,0
NZX,15.800,,0,31 M
NZXpC,10.070,,0,14 M
OESX,5.655,-1.65%,"10,867",123 M
OFI,4.990,,0,0
ONP,1.260,0.00%,"110,105",26 M
ONVO,5.980,+1.18%,"389,546",469 M
OPK,8.400,0.00%,"874,486","3,605 M"
ORS,0,,0,0
PAL,.14500,-3.33%,"832,493",56 M
PBM,3.250,+0.31%,"1,300",40 M
PBTH,8.340,+1.34%,0,0
PCC,9.710,,0,103 M
PCE,.220,,0,0
PCGpA,27.830,-0.61%,518,117 M
PCGpB,26.250,-0.27%,100,31 M
PCGpC,24.270,+0.08%,0,9.7 M
PCGpD,23.500,+0.13%,"1,100",67 M
PCGpE,23.600,+0.38%,0,40 M
PCGpG,23.600,0.00%,0,36 M
PCGpH,23.030,0.00%,0,26 M
PCGpI,22.900,0.00%,0,23 M
PCYG,7.610,-2.56%,"39,227",130 M
PDC,7.890,,0,0
PDL/B,0,,0,0
PDO,4.700,,0,0
PETpA,0,,0,0
PETpB,0,,0,0
PETpC,0,,0,0
PETpD,0,,0,0
PHC,1.800,,0,0
PHF,7.710,-1.66%,"61,817",100 M
PIP,1.770,-0.56%,"61,254",100 M
PKT,7.150,+0.14%,"43,544",148 M
PLG,.8000,-2.62%,"34,542",441 M
PLM,1.0511,-2.67%,"63,259",290 M
PLX,2.300,+0.44%,"106,159",215 M
PNS,2.390,,0,0
PPWp,100.300,,0,0
PRK,79.420,+1.16%,"14,394","1,222 M"
PTN,.6426,+4.49%,"49,053",25 M
PTX,9.800,-0.71%,"390,922",373 M
PUDA,.00500,0.00%,"25,300",0.15 M
PW,10.000,+1.52%,"4,200",17 M
PZG,.73030,-3.91%,"66,578",118 M
QBC,.100,,0,0
QMM,.0001,-99.76%,0,0
QPSA,2.710,,0,0
RAE,0,,0,0
RAP,14.320,,0,0
RBY,1.090,+0.93%,"260,278",404 M
RCG,1.290,-3.73%,"5,600",5.8 M
REE,.5545,-0.61%,"44,907",26 M
RFA,13.570,,0,15 M
RIC,2.500,-1.19%,"149,304",99 M
RIF,20.009,-0.16%,"5,202",153 M
RNJ,13.890,,0,14 M
RNN,.76130,+0.61%,"367,651",135 M
