Symbol,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Vol Index,Sizzle Index
CAKE,44.66,+.62,+1.41%,"329,702",44.63,44.65,44.72,43.64,2.07,21.73%,0.417
CALL,8.71,-.18,-2.02%,"107,444",8.69,8.71,8.89,8.60,3.38,86.80%,0.399
CALM,83.48,-1.57,-1.85%,"154,188",83.41,83.55,85.299,83.3684,5.3,38.82%,0.418
CAMP,18.12,-.24,-1.31%,"352,429",18.11,18.15,18.33,17.60,.36,54.05%,1.27
CANK,1.54,+.04,+2.67%,"134,422",1.53,1.54,1.54,1.51,-.01,,
CANV,3.57,-.08,-2.19%,"159,767",3.55,3.59,3.70,3.31,0,,
CATM,34.74,-.32,-0.91%,"102,907",34.72,34.77,35.08,34.50,.5,35.16%,1.5
CAVM,45.46,+.25,+0.55%,"298,636",45.43,45.46,45.61,43.91,-.07,55.57%,0.288
CBDE,1.35,+.10,+8.00%,"87,809",1.33,1.35,1.48,1.20,0,,
CBOE,57.57,+.03,+0.05%,"145,688",57.55,57.57,57.95,57.32,2.05,24.60%,1.087
CBPO,56.08,+.13,+0.23%,"102,228",56.00,56.09,58.50,55.50,2.32,46.65%,0.404
CBRL,110.99,0,0.00%,"109,207",110.95,111.08,111.65,110.23,5.51,23.35%,0.172
CBSO,29.6725,-.1575,-0.53%,"421,815",29.65,29.67,29.98,29.534,0,29.95%,0.064
CBST,71.70,+.77,+1.09%,"420,311",71.70,71.75,72.11,70.92,-.51,53.95%,0.072
CCIH,11.36,-.45,-3.81%,"129,498",11.31,11.37,11.82,11.14,-.12,95.67%,0.05
CCMP,47.23,+.41,+0.88%,"95,932",47.18,47.27,47.59,46.304,2.04,28.21%,3.764
CDNS,17.37,+.17,+0.99%,"1,459,862",17.37,17.38,17.435,17.06,.44,30.77%,0.17
CDTI,1.7300,+.1032,+6.34%,"94,169",1.7100,1.7300,1.7399,1.6010,-.79,,
CECO,5.08,-.11,-2.12%,"200,465",5.08,5.10,5.15,4.93,-3.57,90.89%,5.332
CELG,103.11,-.13,-0.13%,"3,148,970",103.11,103.13,103.91,101.99,1.91,31.44%,0.84
CEMI,4.78,+.7901,+19.80%,"1,350,418",4.75,4.78,5.20,4.32,.01,,
CENX,27.21,-.89,-3.17%,"760,899",27.19,27.22,27.85,26.62,-.21,60.82%,3.184
CEQP,9.14,-.05,-0.54%,"190,127",9.13,9.14,9.50,8.90,0,55.81%,0.619
CERN,62.16,+1.04,+1.70%,"1,115,698",62.15,62.16,62.57,60.92,1.25,24.72%,0.582
CERS,4.16,+.02,+0.48%,"262,148",4.15,4.16,4.19,4.03,-.66,70.84%,0.459
CETV,2.26,-.03,-1.31%,"84,084",2.26,2.27,2.31,2.25,-1.36,99.19%,1.278
CFFN,12.32,-.02,-0.16%,"148,197",12.32,12.33,12.34,12.24,.52,14.31%,0.562
CGEN,7.897,+.107,+1.37%,"82,134",7.87,7.90,8.06,7.76,-.36,76.00%,22.544
CGNX,38.33,-.14,-0.36%,"272,933",38.32,38.34,38.47,37.67,.96,48.64%,1.231
CHKP,72.815,+.115,+0.16%,"763,959",72.80,72.83,73.46,72.30,3.43,18.75%,0.123
CHKR,9.96,-.17,-1.68%,"131,844",9.97,9.99,10.11,9.76,2.66,46.79%,1.551
CHMT,22.85,-.44,-1.89%,"247,937",22.84,22.86,23.16,22.67,.23,36.91%,0.03
CHRW,71.48,+.33,+0.46%,"1,231,433",71.45,71.49,71.49,69.7972,2.74,31.25%,0.443
CHSP,32.16,+.43,+1.36%,"104,426",32.15,32.18,32.19,31.57,.91,23.26%,0.071
CHTR,156.50,-1.31,-0.83%,"370,615",156.32,156.52,158.42,155.52,-1.05,34.11%,0.52
CIEN,16.08,-.16,-0.99%,"1,111,144",16.08,16.09,16.14,15.86,-.18,47.09%,0.159
CINF,48.90,+.16,+0.33%,"159,293",48.88,48.90,48.98,48.41,2.58,22.09%,7.94
CJES,17.92,-1.86,-9.40%,"1,475,799",17.91,17.92,19.40,17.52,.76,53.97%,1.425
CKEC,31.705,+.685,+2.21%,"87,029",31.64,31.69,31.72,30.60,.22,72.77%,1.5
CLDX,15.43,-.07,-0.45%,"693,053",15.43,15.44,15.50,14.80,-1.2,77.60%,0.315
CLGX,30.41,-.05,-0.16%,"390,479",30.40,30.42,30.51,30.25,1.01,24.56%,1.467
CLMS,13.23,+.38,+2.96%,"125,108",13.22,13.25,13.253,12.59,.96,31.13%,3.262
CLMT,27.59,-.44,-1.57%,"98,544",27.59,27.66,28.184,27.48,-1.78,46.83%,0.245
CLNE,6.30,-.24,-3.67%,"723,817",6.29,6.30,6.47,6.152,-1.3,67.01%,0.21
CLNY,21.43,+.09,+0.42%,"460,157",21.43,21.44,21.4533,21.19,1.22,36.53%,0.109
CLVS,54.97,-.61,-1.10%,"305,021",54.95,55.07,55.64,53.729,-3.55,88.39%,0.049
CMCM,16.78,+.10,+0.60%,"499,718",16.75,16.78,17.10,16.30,0,,
CMGE,22.30,-.61,-2.66%,"88,419",22.21,22.45,22.95,22.04,.14,,
CMLP,21.106,-.134,-0.63%,"230,766",21.08,21.12,21.21,20.70,-.89,41.25%,1.375
CMLS,3.743,-.107,-2.78%,"1,160,691",3.74,3.75,3.875,3.71,.28,144.00%,0.335
CMRX,31.66,-1.24,-3.77%,"298,575",31.65,31.67,33.60,31.42,.07,87.36%,0.432
CNAT,7.54,0,0.00%,"139,540",7.54,7.56,7.78,7.25,-1.31,117.75%,0.297
